BlockId,Label
blk_1000000000,Anomaly
blk_1000000001,Normal
blk_1000000002,Anomaly
blk_1000000003,Normal
blk_1000000004,Normal
blk_1000000005,Normal
blk_1000000006,Normal
blk_1000000007,Normal
blk_1000000008,Anomaly
blk_1000000009,Normal
blk_1000000010,Normal
blk_1000000011,Normal
blk_1000000012,Anomaly
blk_1000000013,Normal
blk_1000000014,Normal
blk_1000000015,Normal
blk_1000000016,Normal
blk_1000000017,Normal
blk_1000000018,Normal
blk_1000000019,Normal
blk_1000000020,Normal
blk_1000000021,Normal
blk_1000000022,Normal
blk_1000000023,Normal
blk_1000000024,Normal
blk_1000000025,Normal
blk_1000000026,Normal
blk_1000000027,Normal
blk_1000000028,Anomaly
blk_1000000029,Normal
blk_1000000030,Normal
blk_1000000031,Normal
blk_1000000032,Normal
blk_1000000033,Normal
blk_1000000034,Anomaly
blk_1000000035,Normal
blk_1000000036,Normal
blk_1000000037,Normal
blk_1000000038,Normal
blk_1000000039,Normal
blk_1000000040,Normal
blk_1000000041,Normal
blk_1000000042,Normal
blk_1000000043,Normal
blk_1000000044,Normal
blk_1000000045,Normal
blk_1000000046,Normal
blk_1000000047,Anomaly
blk_1000000048,Normal
blk_1000000049,Normal
blk_1000000050,Normal
blk_1000000051,Anomaly
blk_1000000052,Normal
blk_1000000053,Normal
blk_1000000054,Normal
blk_1000000055,Anomaly
blk_1000000056,Normal
blk_1000000057,Normal
blk_1000000058,Normal
blk_1000000059,Normal
blk_1000000060,Normal
blk_1000000061,Normal
blk_1000000062,Normal
blk_1000000063,Normal
blk_1000000064,Anomaly
blk_1000000065,Normal
blk_1000000066,Normal
blk_1000000067,Normal
blk_1000000068,Normal
blk_1000000069,Normal
blk_1000000070,Normal
blk_1000000071,Normal
blk_1000000072,Normal
blk_1000000073,Normal
blk_1000000074,Normal
blk_1000000075,Normal
blk_1000000076,Normal
blk_1000000077,Normal
blk_1000000078,Normal
blk_1000000079,Normal
blk_1000000080,Normal
blk_1000000081,Anomaly
blk_1000000082,Normal
blk_1000000083,Normal
blk_1000000084,Normal
blk_1000000085,Normal
blk_1000000086,Normal
blk_1000000087,Normal
blk_1000000088,Normal
blk_1000000089,Anomaly
blk_1000000090,Normal
blk_1000000091,Normal
blk_1000000092,Normal
blk_1000000093,Normal
blk_1000000094,Normal
blk_1000000095,Normal
blk_1000000096,Normal
blk_1000000097,Anomaly
blk_1000000098,Normal
blk_1000000099,Anomaly
blk_1000000100,Normal
blk_1000000101,Normal
blk_1000000102,Normal
blk_1000000103,Normal
blk_1000000104,Normal
blk_1000000105,Normal
blk_1000000106,Anomaly
blk_1000000107,Normal
blk_1000000108,Normal
blk_1000000109,Normal
blk_1000000110,Normal
blk_1000000111,Normal
blk_1000000112,Normal
blk_1000000113,Normal
blk_1000000114,Normal
blk_1000000115,Normal
blk_1000000116,Normal
blk_1000000117,Normal
